course_id,title,info
56856,문학,
56856,01강ㅣ현대소설 01,33:50
56856,"02강ㅣ현대소설 02, 03",1:17:36
56856,"03강ㅣ현대소설 04, 05",1:33:59
56856,04강ㅣ현대소설 06,42:32
56856,05강ㅣ현대소설 07,30:39
56856,06강ㅣ고전소설 01,35:04
56856,07강ㅣ고전소설 02,27:08
56856,"08강ㅣ고전소설 03, 04",1:11:31
56856,09강ㅣ고전소설 05,53:02
56856,"10강ㅣ현대시 01, 02",1:22:49
56856,"11강ㅣ현대시 03, 04",1:18:45
56856,12강ㅣ현대시 05,29:51
56856,"13강ㅣ고전시가 01, 02",56:21
56856,"14강ㅣ고전시가 03, 04",49:57
56856,15강ㅣ고전시가 05 ▶문학 완강,36:32
56856,독서,
56856,"01강ㅣ경제·법·사회 1-1, 1-2",통강 맛보기
56856,"02강ㅣ경제·법·사회 2-1, 2-2",1:10:24
56856,"03강ㅣ경제·법·사회 3-1, 3-2",55:11
56856,"04강ㅣ경제·법·사회 4-1, 4-2",39:38
56856,05강ㅣ경제·법·사회 6,49:00
56856,"06강ㅣ경제·법·사회 5, 7",1:04:22
56856,"07강ㅣ과학·기술 1-1, 1-2",1:23:07
56856,"08강ㅣ과학·기술 2-1, 2-2",50:36
56856,"09강ㅣ과학·기술 3-1, 3-2",1:04:24
56856,"10강ㅣ과학·기술 4-1, 4-2",1:00:47
56188,OT,OT
56188,*반드시 강의 업로드 순서대로 수강하십시오.,
56188,1주차ㅣPart1 - 01,통강 맛보기
56188,1주차ㅣPart1 - 02,33:36
56188,1주차ㅣPart1 - 03,27:39
56188,1주차ㅣPart1 - 04,37:02
56188,1주차ㅣPart2 - 01,15:21
56188,1주차ㅣPart2 - 02,16:18
56188,1주차ㅣPart2 - 03,24:53
56188,1주차ㅣPart2 - 04,21:28
56188,1주차ㅣ선생님과 함께 하는 1주차 복습,17:47
56188,2주차ㅣPart5 - 01,27:43
56188,2주차ㅣPart5 - 02,39:32
56188,2주차ㅣPart5 - 03,38:14
56188,2주차ㅣPart5 - 04,27:17
56188,2주차ㅣPart4 - 01,30:36
56188,2주차ㅣPart4 - 02,34:44
56188,2주차ㅣPart4 - 03,37:59
56188,2주차ㅣPart4 - 04,29:27
56188,2주차ㅣ선생님과 함께 하는 2주차 복습,30:11
56188,3주차ㅣPart8 - 01,30:54
56188,3주차ㅣPart8 - 02,46:35
56188,3주차ㅣPart8 - 03,38:12
56188,3주차ㅣPart8 - 04,41:32
56188,3주차ㅣPart7 - 01,30:59
56188,3주차ㅣPart7 - 02,29:27
56188,3주차ㅣPart7 - 03,32:13
56188,3주차ㅣPart7 - 04,39:18
56188,3주차ㅣ선생님과 함께 하는 3주차 복습,16:07
56188,4주차ㅣPart11 - 02,25:32
56188,4주차ㅣPart11 - 03,38:13
56188,4주차ㅣPart10 - 01,38:53
56188,4주차ㅣPart10 - 02,18:30
56188,4주차ㅣPart10 - 03,33:40
56188,4주차ㅣPart10 - 04,23:54
56188,4주차ㅣ선생님과 함께 하는 4주차 복습,16:21
56188,5주차ㅣPart3 - 01,44:58
56188,5주차ㅣPart3 - 03,42:29
56188,5주차ㅣPart3 - 02,08:07
56188,5주차ㅣPart3 - 04,27:19
56188,5주차ㅣPart6 - 04,34:56
56188,5주차ㅣ선생님과 함께 하는 5주차 복습,16:17
56188,6주차ㅣPart12 - 01,38:58
56188,6주차ㅣPart12 - 04,34:38
56188,6주차ㅣPart12 - 02,1:08:42
56188,6주차ㅣPart12 - 03,33:05
56188,6주차ㅣPart9 - 02,1:13:24
56188,6주차ㅣPart9 - 03,59:40
56188,6주차ㅣPart9 - 04,33:06
56188,6주차ㅣPart9 - 01,37:04
56188,6주차ㅣ선생님과 함께 하는 6주차 복습,15:52
56188,7주차ㅣ익힘 1회-01,28:05
56188,7주차ㅣ익힘 1회-02,28:00
56188,7주차ㅣ익힘 1회-03,18:26
56188,7주차ㅣ익힘 2회-01,37:17
56188,7주차ㅣ익힘 2회-02,17:19
56188,7주차ㅣ익힘 2회-03,14:55
56188,7주차ㅣ익힘 2회-04,18:11
